Label,pps,bps,derived
AB,10,698.1603053,70.08396947
AB,11,757.2724638,68.95362319
AB,12,759.632312,63.36490251
AB,13,861.8617886,66.47560976
AB,14,902.8471338,64.42675159
AB,15,966.0268456,64.09395973
AB,16,998.3967391,62.35869565
AB,17,1045.108844,61.85714286
AB,18,1200.531073,66.57062147
AB,21,1300.302326,61.56976744
AB,23,1385.673759,60.56737589
AB,20,1407.25,70.51315789
AB,24,1462.101449,60.99275362
AB,19,1544.170213,81.77659574
AB,10,1605.333333,161.7777778
AB,22,1676.896104,76.41558442
AB,29,1835.685083,63.40331492
AB,28,1998.854651,71.34302326
AB,25,2015.410959,80.62328767
AB,34,2083.449275,61.33333333
AB,28,2098,76
AB,35,2138.192982,61.07017544
AB,26,2200.968553,84.49685535
AB,36,2269.392857,62.98214286
AB,31,2351.790698,76.14728682
AB,30,2381.064706,79.45294118
AB,27,2395.746914,88.85185185
AB,12,2438.75,206.75
AB,32,2456.05,76.85
AB,39,2488.962963,63.81481481
AB,37,2536.404762,68.66666667
AB,33,2592.6,78.81052632
AB,42,2652.166667,62.97222222
AB,38,2671.435897,70.48717949
AB,29,2769.5,95.5
AB,44,2777.442308,63
AB,11,2804.833333,253.1666667
AB,20,3000.5,148.75
AB,22,3010.6,136.2
AB,46,3132.928571,68.28571429
AB,23,3146,137.75
AB,33,3212.428571,97.57142857
AB,69,3237.333333,46.66666667
AB,57,3246,57.08333333
AB,55,3273.9375,59.75
AB,53,3289.565217,62.08695652
AB,15,3294.714286,220
AB,48,3303.928571,68.5
AB,56,3394.1,60.6
AB,36,3429.769231,95.07692308
AB,51,3435.321429,67.25
AB,54,3440.62963,63.62962963
AB,47,3466.538462,73.30769231
AB,65,3507.2,54
AB,49,3509.333333,71.375
AB,27,3512,129
AB,50,3567.6,71.4
AB,48,3569.1,74.2
AB,67,3613,54
AB,75,3653.5,48.5
AB,68,3678,54
AB,79,3703.666667,47
AB,49,3803.666667,77.33333333
AB,38,3869.5,101.75
AB,72,3911,54
AB,73,3948,54
AB,17,4003.5,233.5
AB,50,4016,80.33333333
